run_id,network,dim,N,alpha_target,t,family,rep,dataset_seed,sample_seed,materialize_join
sample_size_d3_N50000_a10_t10000_F0_rep0,sample_size,3,50000,10.0,10000,F0,0,8640121631729594782,6575326220113389282,0
sample_size_d3_N50000_a10_t50000_F0_rep0,sample_size,3,50000,10.0,50000,F0,0,8640121631729594782,729340924486050406,0
sample_size_d3_N50000_a10_t200000_F0_rep0,sample_size,3,50000,10.0,200000,F0,0,8640121631729594782,7964487360062945299,0
sample_size_d3_N50000_a10_t1000000_F0_rep0,sample_size,3,50000,10.0,1000000,F0,0,8640121631729594782,6213516524858008054,0
density_d3_N50000_a0p1_t200000_F0_rep1,density,3,50000,0.1,200000,F0,1,3932519327083507129,657867009125550250,0
density_d3_N50000_a1_t200000_F0_rep1,density,3,50000,1.0,200000,F0,1,3543986781083083162,4396892894165447999,0
density_d3_N50000_a10_t200000_F0_rep1,density,3,50000,10.0,200000,F0,1,6212337619726424183,7045055720270577014,0
density_d3_N50000_a100_t200000_F0_rep1,density,3,50000,100.0,200000,F0,1,4034695080647519863,1916570912426312423,0
input_size_d3_N10000_a10_t200000_F0_rep1,input_size,3,10000,10.0,200000,F0,1,9206492956679024095,2320202188260130145,0
input_size_d3_N50000_a10_t200000_F0_rep1,input_size,3,50000,10.0,200000,F0,1,6212337619726424183,2737445015120922439,0
input_size_d3_N100000_a10_t200000_F0_rep1,input_size,3,100000,10.0,200000,F0,1,2215639769635186645,9016341588599412747,0
sample_size_d3_N50000_a10_t10000_F0_rep1,sample_size,3,50000,10.0,10000,F0,1,6212337619726424183,8310944553481973459,0
sample_size_d3_N50000_a10_t50000_F0_rep1,sample_size,3,50000,10.0,50000,F0,1,6212337619726424183,692348298217414824,0
sample_size_d3_N50000_a10_t200000_F0_rep1,sample_size,3,50000,10.0,200000,F0,1,6212337619726424183,1276298194908347135,0
sample_size_d3_N50000_a10_t1000000_F0_rep1,sample_size,3,50000,10.0,1000000,F0,1,6212337619726424183,8201684162347299209,0
density_d3_N50000_a0p1_t200000_F0_rep2,density,3,50000,0.1,200000,F0,2,4904878001456299902,2453835663933247484,0
density_d3_N50000_a1_t200000_F0_rep2,density,3,50000,1.0,200000,F0,2,6359061104989572939,3751985055253570816,0
density_d3_N50000_a10_t200000_F0_rep2,density,3,50000,10.0,200000,F0,2,9028237677738978648,6044002464057283230,0
density_d3_N50000_a100_t200000_F0_rep2,density,3,50000,100.0,200000,F0,2,4990159081908752949,7732076875397631664,0
input_size_d3_N10000_a10_t200000_F0_rep2,input_size,3,10000,10.0,200000,F0,2,1486921554189310355,2780314307981628464,0
input_size_d3_N50000_a10_t200000_F0_rep2,input_size,3,50000,10.0,200000,F0,2,9028237677738978648,6436032594508055770,0
input_size_d3_N100000_a10_t200000_F0_rep2,input_size,3,100000,10.0,200000,F0,2,4538178707583411027,7639978417554317807,0
sample_size_d3_N50000_a10_t10000_F0_rep2,sample_size,3,50000,10.0,10000,F0,2,9028237677738978648,6292120511690192574,0
