left_idx,w,V_count,P_count,C_count,H_count,S_prune,S_contain,D_count_max,V_search,P_search,B_mid,B_leaf,B_subtree,m,M_point,M_subtree,rho,sigma,avg_subtree_mass
98,13,60,24,5,31,9939,1,13,55,24,7,0,5,12,7,6,1.08333,0.461538,1.2
99,27,110,38,15,57,9887,3,13,95,38,9,0,15,24,9,18,1.125,0.666667,1.2
100,27,121,50,8,63,9874,5,13,113,50,14,0,8,22,14,13,1.22727,0.481481,1.625
101,24,114,48,8,58,9881,5,13,106,48,11,0,8,19,11,13,1.26316,0.541667,1.625
102,23,85,31,9,45,9914,1,13,76,31,13,0,9,22,13,10,1.04545,0.434783,1.11111
103,26,108,40,11,57,9888,4,13,97,40,11,0,11,22,11,15,1.18182,0.576923,1.36364
104,9,61,28,3,30,9937,2,12,58,28,4,0,3,7,4,5,1.28571,0.555556,1.66667
105,32,122,43,16,63,9872,6,13,106,43,10,0,16,26,10,22,1.23077,0.6875,1.375
106,24,68,28,5,35,9924,8,13,63,28,11,0,5,16,11,13,1.5,0.541667,2.6
107,29,86,36,6,44,9903,11,13,80,36,12,0,6,18,12,17,1.61111,0.586207,2.83333
108,20,54,22,4,28,9937,9,13,50,22,7,0,4,11,7,13,1.81818,0.65,3.25
109,22,79,29,8,42,9920,1,13,71,29,13,0,8,21,13,9,1.04762,0.409091,1.125
110,29,101,40,10,51,9890,9,13,91,40,10,0,10,20,10,19,1.45,0.655172,1.9
111,25,64,28,4,32,9920,16,13,60,28,5,0,4,9,5,20,2.77778,0.8,5
112,20,109,47,6,56,9889,2,13,103,47,12,0,6,18,12,8,1.11111,0.4,1.33333
113,19,49,20,3,26,9943,8,13,46,20,8,0,3,11,8,11,1.72727,0.578947,3.66667
114,22,90,38,7,45,9907,3,13,83,38,12,0,7,19,12,10,1.15789,0.454545,1.42857
115,24,144,58,11,75,9851,5,13,133,58,8,0,11,19,8,16,1.26316,0.666667,1.45455
116,16,55,21,6,28,9944,1,13,49,21,9,0,6,15,9,7,1.06667,0.4375,1.16667
117,19,88,32,9,47,9911,1,13,79,32,9,0,9,18,9,10,1.05556,0.526316,1.11111
118,28,107,42,9,56,9886,7,13,98,42,12,0,9,21,12,16,1.33333,0.571429,1.77778
119,23,132,57,8,67,9861,7,13,124,57,8,0,8,16,8,15,1.4375,0.652174,1.875
120,13,63,26,4,33,9937,0,13,59,26,9,0,4,13,9,4,1,0.307692,1
121,16,60,26,4,30,9937,3,13,56,26,9,0,4,13,9,7,1.23077,0.4375,1.75
122,23,90,35,8,47,9907,3,13,82,35,12,0,8,20,12,11,1.15,0.478261,1.375
123,6,39,18,2,19,9959,2,12,37,18,2,0,2,4,2,4,1.5,0.666667,2
124,20,72,25,9,38,9922,6,13,63,25,5,0,9,14,5,15,1.42857,0.75,1.66667
125,28,87,33,8,46,9907,6,13,79,33,14,0,8,22,14,14,1.27273,0.5,1.75
126,23,65,28,4,33,9923,12,13,61,28,7,0,4,11,7,16,2.09091,0.695652,4
127,10,69,30,3,36,9931,0,13,66,30,7,0,3,10,7,3,1,0.3,1
128,17,75,29,7,39,9924,1,13,68,29,9,0,7,16,9,8,1.0625,0.470588,1.14286
129,24,109,42,9,58,9886,5,13,100,42,10,0,9,19,10,14,1.26316,0.583333,1.55556
130,16,68,27,6,35,9929,3,13,62,27,7,0,6,13,7,9,1.23077,0.5625,1.5
131,11,125,54,7,64,9874,1,13,118,54,3,0,7,10,3,8,1.1,0.727273,1.14286
