left_idx,w,V_count,P_count,C_count,H_count,S_prune,S_contain,D_count_max,V_search,P_search,B_mid,B_leaf,B_subtree,m,M_point,M_subtree,rho,sigma,avg_subtree_mass
30,21,305,138,7,160,49693,2,15,298,138,12,0,7,19,12,9,1.10526,0.428571,1.28571
31,22,565,264,9,292,49435,0,15,556,264,13,0,9,22,13,9,1,0.409091,1
32,41,970,450,19,501,49024,6,15,951,450,16,0,19,35,16,25,1.17143,0.609756,1.31579
33,12,189,87,3,99,49811,0,15,186,87,9,0,3,12,9,3,1,0.25,1
34,23,643,303,6,334,49356,1,15,637,303,16,0,6,22,16,7,1.04545,0.304348,1.16667
35,15,227,104,4,119,49773,0,15,223,104,11,0,4,15,11,4,1,0.266667,1
36,17,344,157,7,180,49655,1,15,337,157,9,0,7,16,9,8,1.0625,0.470588,1.14286
37,16,429,205,4,220,49570,1,15,425,205,11,0,4,15,11,5,1.06667,0.3125,1.25
38,23,421,194,9,218,49576,3,15,412,194,11,0,9,20,11,12,1.15,0.521739,1.33333
39,31,1091,516,12,563,48907,2,15,1079,516,17,0,12,29,17,14,1.06897,0.451613,1.16667
40,27,606,270,16,320,49393,1,15,590,270,10,0,16,26,10,17,1.03846,0.62963,1.0625
41,21,427,198,8,221,49571,2,15,419,198,11,0,8,19,11,10,1.10526,0.47619,1.25
42,24,455,211,6,238,49545,0,15,449,211,18,0,6,24,18,6,1,0.25,1
43,18,709,338,6,365,49291,0,15,703,338,12,0,6,18,12,6,1,0.333333,1
44,5,123,60,0,63,49877,0,15,123,60,5,0,0,5,5,0,1,0,nan
45,18,265,122,4,139,49733,2,15,261,122,12,0,4,16,12,6,1.125,0.333333,1.5
46,26,314,138,10,166,49682,4,15,304,138,12,0,10,22,12,14,1.18182,0.538462,1.4
47,9,298,144,1,153,49701,1,15,297,144,7,0,1,8,7,2,1.125,0.222222,2
48,7,133,63,1,69,49867,0,15,132,63,6,0,1,7,6,1,1,0.142857,1
49,23,210,91,6,113,49789,1,15,204,91,16,0,6,22,16,7,1.04545,0.304348,1.16667
50,24,661,316,6,339,49338,1,15,655,316,17,0,6,23,17,7,1.04348,0.291667,1.16667
51,14,588,277,4,307,49412,0,15,584,277,10,0,4,14,10,4,1,0.285714,1
52,20,547,262,4,281,49452,1,15,543,262,15,0,4,19,15,5,1.05263,0.25,1.25
