run_id,group_size,count
density_d3_N2000_a10_t20000_F1_rep0,15,88
density_d3_N2000_a10_t20000_F1_rep0,16,62
density_d3_N2000_a10_t20000_F1_rep0,17,48
density_d3_N2000_a10_t20000_F1_rep0,18,39
density_d3_N2000_a10_t20000_F1_rep0,19,33
density_d3_N2000_a10_t20000_F1_rep0,20,20
density_d3_N2000_a10_t20000_F1_rep0,21,13
density_d3_N2000_a10_t20000_F1_rep0,22,12
density_d3_N2000_a10_t20000_F1_rep0,23,11
density_d3_N2000_a10_t20000_F1_rep0,24,4
density_d3_N2000_a10_t20000_F1_rep0,25,6
density_d3_N2000_a10_t20000_F1_rep0,26,3
density_d3_N2000_a10_t20000_F1_rep0,27,2
density_d3_N2000_a10_t20000_F1_rep0,28,2
density_d3_N2000_a10_t20000_F1_rep0,29,1
density_d3_N2000_a10_t20000_F1_rep0,30,1
density_d3_N2000_a10_t20000_F1_rep0,32,1
